zeme,year,co2,population,gdp,primary_energy_consumption,gdp_pc,en_int,co2_int,population_g,gdp_pc_g,en_int_g,co2_int_g,interactions,co2_g
Poland,2018,335.719,38241070.0,552573816155.989,1222.083,14449.747775258093,2.2116194511377494e-09,0.27471047383851993,-0.03631946954648635,6.284460424630689,-4.804181778522942,-1.3596696263439068,-0.3178670602097764,-0.233577509992422
Poland,2019,317.444,38225884.0,577884228677.544,1187.268,15117.615819624838,2.054508396460303e-09,0.26737349949632266,-0.03971123192944015,4.622004859561057,-7.103891883236136,-2.6708025506555932,-0.25113977380832875,-5.44354058006844
Poland,2020,302.102,38171005.0,566120997479.772,1139.234,14831.178730551423,2.012350725501408e-09,0.2651799366943051,-0.1435650252064824,-1.8947239597237209,-2.051959049256169,-0.8204114492086023,0.07768106830442534,-4.832978415090549
Poland,2021,330.694,38040303.0,605337233054.782,1224.758,15913.049721364785,2.0232655999357e-09,0.2700076259963193,-0.3424117337230137,7.294571864236032,0.5423942405254456,1.8205333941154977,0.149265334130412,9.464353099284374
Poland,2022,314.892,38385734.0,637150470884.733,1186.868,16598.626742026947,1.8627750495921964e-09,0.26531341311754975,0.9080658479508008,4.308269204624615,-7.932253202377582,-1.7385482582012446,-0.32396924550104345,-4.778435653504454
Poland,2023,283.243,38762847.0,638740867489.057,1132.88,16478.172191249447,1.7736143993000553e-09,0.25002030223854244,0.9824300871777103,-0.7256898576586179,-4.786442158523673,-5.764168007680615,0.2431223787923269,-10.050747557892869
Poland,2024,272.862,38539209.0,658084600079.586,1125.569,17075.71631995836,1.7103712803245634e-09,0.24242138864876345,-0.5769390468145952,3.626276760393554,-3.5657761349056627,-3.0393186160253993,-0.10929382003889154,-3.6650508573909946
Czechia,1990,164.252,10301989.0,122972963913.465,546.744,11936.817629436897,4.446050437433866e-09,0.30041847738612587,,,,,,
Czechia,1991,148.886,10304420.0,108689725030.78,497.639,10547.874119143047,4.5785284658607145e-09,0.29918475039134795,0.023597384932161347,-11.635794006508338,2.979678937320185,-0.41066947862604675,-0.31195006527957503,-9.355137228161613
Czechia,1992,145.708,10312449.0,108139165550.882,482.979,10486.273973416208,4.466272673176372e-09,0.30168599462916607,0.07791801964593947,-0.5840053173846949,-2.4517875889899066,0.8360199624300346,-0.012664103682513694,-2.134519027981141
Czechia,1993,140.126,10320404.0,108206108282.012,478.929,10484.677565142993,4.4260810004532466e-09,0.2925819902323727,0.07713977543064576,-0.015223789472429416,-0.8998929457332272,-3.0177086636003936,0.02473605300178372,-3.8309495703736207
Czechia,1994,132.67,10322332.0,111354158852.668,466.515,10787.693987431134,4.189470827194188e-09,0.284385282359624,0.018681439214973672,2.890088134856339,-5.345816609204146,-2.8015080033595874,-0.08237041431434822,-5.320925452806769
